Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
5-Apr,"7,774","1,456,676,572","187,378","144,282","44,398",6.5
5-May,"8,392","1,607,949,160","191,605","147,371","44,391",6.4
5-Jun,"9,506","1,890,020,944","198,824","150,958","44,666",6.4
5-Jul,"8,582","1,687,718,956","196,658","152,586","44,920",6.3
5-Aug,"8,919","1,744,779,375","195,625","150,914","43,754",6.1
5-Sep,"7,710","1,454,098,290","188,599","147,852","42,589",5.8
5-Oct,"6,956","1,322,704,268","190,153","147,784","42,118",5.7
5-Nov,"6,510","1,272,145,140","195,414","150,751","41,299",5.6
5-Dec,"6,736","1,326,965,056","196,996","149,600","39,044",5.3
6-Jan,"5,125","953,962,375","186,139","142,501","41,065",5.5
6-Feb,"6,325","1,198,461,000","189,480","146,228","42,016",5.6
6-Mar,"8,776","1,677,646,488","191,163","147,022","43,353",5.7
6-Apr,"7,905","1,498,708,950","189,590","146,542","45,104",5.9
6-May,"9,405","1,918,986,795","204,039","154,825","46,039",6
6-Jun,"10,507","2,166,417,316","206,188","156,001","46,946",6
6-Jul,"8,945","1,804,904,210","201,778","154,427","48,023",6.1
6-Aug,"9,495","1,909,890,765","201,147","151,254","47,496",6
6-Sep,"7,571","1,400,839,417","185,027","143,799","47,777",6.1
6-Oct,"7,450","1,414,687,950","189,891","145,446","46,635",5.9
6-Nov,"6,901","1,332,417,476","193,076","147,762","45,142",5.7
6-Dec,"7,104","1,407,408,960","198,115","149,090","42,692",5.4
7-Jan,"5,432","1,032,883,936","190,148","142,257","43,851",5.5
7-Feb,"6,319","1,213,665,054","192,066","145,496","44,970",5.6
7-Mar,"8,449","1,692,427,639","200,311","149,161","47,916",6
7-Apr,"7,741","1,608,912,663","207,843","154,180","49,641",6.2
7-May,"8,958","1,897,035,660","211,770","154,911","50,186",6.3
7-Jun,"9,240","1,997,798,880","216,212","158,909","50,548",6.5
7-Jul,"8,935","1,858,694,440","208,024","156,162","50,440",6.5
7-Aug,"8,910","1,887,111,270","211,797","156,764","49,507",6.4
7-Sep,"6,210","1,231,455,420","198,302","149,796","49,426",6.5
