Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
19-Oct,"2,361","677,538,262","286,971","246,000","5,597",2.4
19-Nov,"2,051","575,591,123","280,639","240,000","5,179",2.2
19-Dec,"2,212","656,804,517","296,928","245,000","4,344",1.8
20-Jan,"1,627","443,293,829","272,461","240,000","4,579",1.9
20-Feb,"1,896","555,062,326","292,754","242,000","4,583",1.9
20-Mar,"2,293","661,443,121","288,462","246,000","4,518",1.9
20-Apr,"1,940","590,255,587","304,255","255,000","4,831",2.1
20-May,"2,051","605,324,988","295,137","248,000","4,885",2.2
20-Jun,"2,915","897,878,496","308,020","255,000","4,567",2
20-Jul,"3,316","1,047,177,579","315,795","260,000","4,353",1.9
20-Aug,"2,875","911,876,140","317,174","260,000","3,941",1.7
20-Sep,"2,795","886,647,476","317,226","262,995","3,619",1.5
20-Oct,"2,639","856,801,283","324,669","264,000","3,412",1.4
20-Nov,"2,264","727,339,891","321,263","264,500","2,856",1.2
20-Dec,"2,628","859,835,245","327,182","270,000","2,271",0.9
21-Jan,"1,654","532,960,314","322,225","265,000","2,213",0.9
21-Feb,"1,676","562,743,270","335,766","280,000","1,980",0.8
21-Mar,"2,234","785,407,017","351,570","285,000","2,029",0.8
21-Apr,"2,534","911,185,576","359,584","290,000","2,217",0.9
21-May,"2,491","946,132,982","379,821","305,000","2,264",0.9
21-Jun,"2,772","1,056,775,320","381,232","310,000","2,728",1.1
21-Jul,"2,732","1,043,353,388","381,901","314,690","3,195",1.3
21-Aug,"2,820","1,061,704,675","376,491","310,000","2,963",1.2
21-Sep,"2,702","1,029,525,343","381,023","311,050","2,846",1.2
21-Oct,"2,477","906,849,449","366,108","315,000","2,693",1.1
21-Nov,"2,335","879,145,577","376,508","320,000","2,164",0.9
21-Dec,"2,484","962,093,353","387,316","330,000","1,646",0.7
