Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
20-Sep,329,"87,940,805","267,297","249,900",431,1.6
20-Oct,313,"82,476,509","263,503","255,425",459,1.6
20-Nov,283,"77,733,024","274,675","260,990",370,1.3
20-Dec,323,"89,534,050","277,195","259,500",383,1.3
21-Jan,219,"58,355,541","266,464","255,900",356,1.2
21-Feb,235,"63,582,511","270,564","259,900",311,1.1
21-Mar,253,"74,470,365","294,349","275,000",297,1
21-Apr,267,"78,196,248","292,870","276,900",314,1.1
21-May,308,"94,910,082","308,150","291,082",338,1.1
21-Jun,320,"100,989,171","315,591","299,950",369,1.2
21-Jul,316,"98,078,586","310,375","295,000",498,1.7
21-Aug,361,"117,033,875","324,194","307,000",544,1.9
21-Sep,296,"95,757,537","323,505","306,700",562,1.9
21-Oct,327,"114,819,016","351,128","320,000",510,1.7
21-Nov,316,"104,296,585","330,052","310,000",455,1.5
21-Dec,378,"129,038,363","341,371","330,000",376,1.3
